poster_id,post_id,nums_category_img,categories,num_category_text
574054be50c4b4473f712868,6625cd6e000000001c00a4d0,70,"谁还对脱毛, 私处脱毛",3
5bffd88e0000000008006d81,6598129100000000130379bb,34,"秋冬厚外套,  皮毛, 皮毛","10, 3"
62c72724000000000e00c085,65ae59f9000000000a0321b1,134,,
5afec6c94eacab2b432f52be,66041791000000001203d1d7,57," 小个子鞋, 小个子鞋子, 小个子鞋,  鞋子推荐,  小个子鞋子, 鞋子推荐",8
5f11b503000000000101ff53,65377f79000000002201e3d6,25,,
62c100820000000015015acf,6637276f000000001e022ca4,178,"瘦泳衣大推荐, 海岛度假风, 四件套的款, 显瘦, 显瘦泳衣, 件套的泳衣","0, 2, 16, 12"
58a03ed182ec397e60564cca,65a63a81000000002b00a2ce,158,,
5ace124a4eacab4cd94b6bc8,65ced82c000000000b00fb07,32,"美美的小裙,  老公镜头, 老公镜头, 老公镜, 美美的小裙子,  老公镜","9, 14, 12"
59124ed350c4b429bae8bee6,665c16fb000000001401a06c,29,"运动套装,  显瘦,  梨形身材, 显瘦,  运动套装, 梨形身材","4, 13, 2"
59124ed350c4b429bae8bee6,665c16fb000000001401a06c,29,"运动套装,  显瘦,  梨形身材, 显瘦,  运动套装, 梨形身材","4, 13, 2"
55ff8fd941a2b36aafc0d89d,660bbc43000000001a010158,157," 公主头, 公主头, 甜妹发型","3, 1"
5b287ba611be102bd290b2ff,6506f340000000001e02cefa,112,,
5afec6c94eacab2b432f52be,66093820000000001a00e136,17," 显瘦, 漂亮裙,  梨形身材, 国风, 显瘦,  漂亮裙子,  漂亮裙,  国风, 梨形身材, 漂亮裙子","0, 13, 2, 14"
5f5171070000000001002eaa,66457630000000001e031356,57," 街头, 爱戴棒球帽, 街头",12
5f5171070000000001002eaa,66457630000000001e031356,57," 街头, 爱戴棒球帽, 街头",12
59124ed350c4b429bae8bee6,661e863a000000000401a21a,29," 吊带, 吊带,  显瘦,  梨形身材,  冲锋衣推荐, 冲锋衣搭配,  穿衣, 显瘦, 冲锋衣推荐,  冲锋衣搭配, 梨形身材, 穿衣","4, 17, 12, 13, 2"
601eb5d7000000000100448e,6628c3d3000000001c00b91e,82,"又到了穿吊带, 大胸显瘦, 的可以带肩,  大胸显瘦,  无肩, 以去掉 包, 无肩带内衣","7, 2, 17"
59124ed350c4b429bae8bee6,654e2c4c00000000320055ef,29,"暖暖衫,  高腰裤,  显瘦,  梨形身材, 实 牛仔裤, 这么会买衣, 这么会买衣服,  暖暖衫, 妹也🉑 外套, 么会买衣服, 裤也好显瘦, 梨形身材","4, 12, 10, 7, 2, 13"
5d1c43470000000016027f93,6624c3ef000000000d032521,126,,
55744c0fe58d13418400fbd0,662f1b110000000001006926,167,"连衣裙,  显瘦, 连衣,  韩系,  裙子, 显瘦, 韩系,  连衣裙, 裙子,  连衣","4, 2, 14, 5"
613a121f000000000201a0ad,6617fe88000000001b012340,19,,
5b45a624e8ac2b66b30debe9,64d2124e000000000103e1de,17,,
5c5549e9000000001a00cde3,65d01ab0000000000b00e6ed,100,"打歌舞台造型, ！ 鸡毛头, 爱豆发型,  鸡毛头, 啦！ 鸡毛, 歌舞台造型, 天都不怕头发,  爱豆发型,  鸡毛, 豆发型同款","3, 12"
5b45a624e8ac2b66b30debe9,665af0f4000000001501386a,17," 防晒衣推荐, 防晒衣推荐, 防晒衣,  防晒衣",6
55744c0fe58d13418400fbd0,65656f19000000003403c435,21,"毛,  毛毛外套,  羽绒,  显瘦,  韩系,  棉服, 显瘦, 棉服, 毛毛外套, 韩系, 羽绒,  毛","3, 5, 11, 6, 10, 2"
5b2b6ca06b58b77cd64f013b,6547237f000000001e00dd35,74,"说今年短款, 服搭半身裙, 好穿 版型, 短款羽绒服,  羽绒服推荐, 加绒打底裤, 年短款羽绒,  短款羽绒, 🔥耶 要风,  半身裙,  短款, 搭配卫衣毛, 羽绒服推荐, 会臃肿 搭配,  搭配卫衣, 搭配卫衣毛衣","4, 0, 12, 3, 11, 6, 14, 7, 1"
60483d9f000000000100af84,657c52da000000003801c529,86,,
601eb5d7000000000100448e,6667f9bb000000001c035d59,82,"瑜伽服, 胖女生显瘦","2, 1"
5fac01e6000000000101e98e,6656ce1f000000001601277e,57,"姐妹们！鞋, 复古老爹鞋,  百搭鞋子, 姐妹们！鞋子, 们！鞋子推荐",8
61a31a1f0000000010007ceb,65f5365a000000000d00c3cc,185,,
5a914ef2e8ac2b4a2e6d0c17,65a610a4000000001d02762a,154,,
592a2cca5e87e70e89f4c95b,665ed0d9000000000e0305e1,4,,
5b287ba611be102bd290b2ff,660a9b8b000000001a00e535,101,,
55caed4cf5a2636d16d3743c,6666c300000000000d00f730,171,"植物系,  植物系",19
5ace124a4eacab4cd94b6bc8,64c74384000000000c0341b7,4,爱的宛瑜系,12
652caea80000000002010b82,661a145c000000001a011032,177,"无骨月子袜, 配饰,  配饰,  袜子推荐, 袜子推荐","8, 6, 12"
564003f20bf90c2ae53739bf,6561d76e000000003202cc94,135,"时尚风, 时尚风格, 哈！ 仰头","12, 1"
54812b93d6e4a961793034dd,664da87c00000000160104cb,59,,
58a03ed182ec397e60564cca,652e2245000000001f007ca5,18,,
5c640a4a000000001203878f,6639069c000000001e0227d9,172," 洞洞鞋, 洞洞鞋, 每次搭配,  洞洞鞋搭配,  绿色系, 绿色系","8, 9, 12"
5c640a4a000000001203878f,6639069c000000001e0227d9,172," 洞洞鞋, 洞洞鞋, 每次搭配,  洞洞鞋搭配,  绿色系, 绿色系","8, 9, 12"
578cb6336a6a69400dcdf636,66122759000000001b00aba0,104," 显瘦神裤,  显瘦, 显瘦神裤, 显瘦","7, 2"
55ff8fd941a2b36aafc0d89d,661b695e000000001a00c846,164,"～ 新发型, 啦～ 新发型, 一款丸子头,  丸子头, 短发的一款,  减龄发型","3, 12"
5ace124a4eacab4cd94b6bc8,653fb1e4000000000403a348,90,用这个片头,12
5ace124a4eacab4cd94b6bc8,653fb1e4000000000403a348,90,用这个片头,12
5b45a624e8ac2b66b30debe9,663c97a0000000001e02117c,131,"防晒开衫, 甜酷风,  甜酷风,  防晒开衫,  防晒衣, 防晒开衫外套, 防晒衣","0, 6, 10"
55caed4cf5a2636d16d3743c,6667f353000000000d00fbab,79,,
61a31a1f0000000010007ceb,65a3d63e000000001802be8f,121,,
5a990ee711be10320bad4ff3,65c4968f000000002c0127da,11,,
54812b93d6e4a961793034dd,664b0dc6000000001401a62e,192,,
61a31a1f0000000010007ceb,66470ada00000000050054b0,41,,
5ebeb2080000000001000b0d,65977634000000001d033cdc,198,,
59124ed350c4b429bae8bee6,66002d1500000000120212fd,19," 梨形身材, 梨形身材,  显瘦, 显瘦","13, 2"
59124ed350c4b429bae8bee6,6576d9670000000039032f98,173," 工装裤,  梨形身材, 黑色羽绒服, 度 太好搭配,  大码女装,  中性风, 大码显瘦, 大码女装, 中性风, 形挚爱短款, 件黑色羽绒, 工装裤, 梨形身材","4, 0, 12, 6, 7, 2, 13, 1"
5c275b2d0000000007011212,65ea9f21000000000102a15e,182,,
