UserID,Video,Main_Category_list,Sub_Category_list
1,1,"['Leisure and Comedy', 'Plot Type', 'Appearance', 'Leisure and Comedy', 'Life Sharing', 'Plot Type', 'Games', 'Life Sharing', 'Life Sharing', 'Product Guide', 'Life Sharing', 'Advertising', 'Leisure and Comedy', 'Life Sharing', 'Life Sharing', 'Games', 'Leisure and Comedy', 'Plot Type']","['Creative Editing/Dubbing', 'Short Skits', 'Music', 'Landscape Photography', 'Vlog/Insights Sharing', 'Short Skits', 'Games', 'Home Life', 'Vlog/Insights Sharing', 'Product Review', 'Vlog/Insights Sharing', 'Local Culture and Tourism', 'Creative Editing/Dubbing', 'Vlog/Insights Sharing', 'Vlog/Insights Sharing', 'Games', 'Creative Editing/Dubbing', 'Short Skits']"
1,2,"['Life Sharing', 'Plot Type', 'Appearance', 'Life Sharing', 'Leisure and Comedy', 'Life Sharing', 'Life Sharing', 'Plot Type', 'Plot Type', 'Educational/Informational', 'Plot Type', 'Educational/Informational', 'Leisure and Comedy', 'Life Sharing', 'Leisure and Comedy', 'Plot Type', 'Life Sharing', 'Plot Type', 'Life Sharing']","['Home Life', 'Short Skits', 'Dance', 'Vlog/Insights Sharing', 'Art Creation', 'Vlog/Insights Sharing', 'Home Life', 'Short Skits', 'Short Skits', 'Popular Science', 'Short Skits', 'Popular Science', 'Creative Editing/Dubbing', 'Vlog/Insights Sharing', 'Creative Editing/Dubbing', 'Short Skits', 'Vlog/Insights Sharing', 'Short Skits', 'Skill Sharing']"
1,3,"['Life Sharing', 'Leisure and Comedy', 'Educational/Informational', 'News and Current Events', 'Plot Type', 'Games', 'Leisure and Comedy', 'Plot Type', 'Educational/Informational', 'Life Sharing', 'Life Sharing', 'Leisure and Comedy', 'News and Current Events', 'Games', 'Leisure and Comedy']","['Home Life', 'Satirical Parody', 'Popular Science', 'Social and Political News', 'Short Skits', 'Games', 'Satirical Parody', 'Short Skits', 'Technology', 'Home Life', 'Home Life', 'Satirical Parody', 'Social and Political News', 'Games', 'Art Creation']"
1,4,"['Life Sharing', 'Educational/Informational', 'Appearance', 'Life Sharing', 'Leisure and Comedy', 'Plot Type', 'Games', 'Life Sharing', 'Leisure and Comedy', 'Leisure and Comedy', 'Product Guide', 'Leisure and Comedy']","['Vlog/Insights Sharing', 'Popular Science', 'Dance', 'Home Life', 'Street Interviews', 'Film/Variety Editing', 'Games', 'Vlog/Insights Sharing', 'Satirical Parody', 'Street Interviews', 'Product Review', 'Art Creation']"
1,5,"['Leisure and Comedy', 'Leisure and Comedy', 'Appearance', 'Plot Type', 'Life Sharing', 'Leisure and Comedy', 'Games', 'Life Sharing', 'Leisure and Comedy', 'Life Sharing', 'Plot Type', 'Life Sharing']","['Creative Editing/Dubbing', 'Street Interviews', 'Music', 'Short Skits', 'Travel', 'Art Creation', 'Games', 'Vlog/Insights Sharing', 'Satirical Parody', 'Vlog/Insights Sharing', 'Short Skits', 'Travel']"
1,6,"['Plot Type', 'Plot Type', 'Life Sharing', 'Life Sharing', 'Appearance', 'Life Sharing', 'Games', 'Plot Type', 'Life Sharing', 'Leisure and Comedy', 'Life Sharing', 'Life Sharing', 'Plot Type', 'Life Sharing', 'Games', 'Life Sharing', 'Plot Type']","['Short Skits', 'Short Skits', 'Home Life', 'Travel', 'Dance', 'Vlog/Insights Sharing', 'Games', 'Short Skits', 'Skill Sharing', 'Art Creation', 'Vlog/Insights Sharing', 'Vlog/Insights Sharing', 'Short Skits', 'Home Life', 'Games', 'Vlog/Insights Sharing', 'Short Skits']"
1,7,"['Plot Type', 'Plot Type', 'Leisure and Comedy', 'Life Sharing', 'Games', 'Games', 'Life Sharing', 'Life Sharing', 'Life Sharing', 'Leisure and Comedy', 'Plot Type', 'Life Sharing', 'Leisure and Comedy', 'Life Sharing', 'Leisure and Comedy', 'Leisure and Comedy', 'Leisure and Comedy']","['Short Skits', 'Short Skits', 'Satirical Parody', 'Vlog/Insights Sharing', 'Games', 'Games', 'Vlog/Insights Sharing', 'Vlog/Insights Sharing', 'Home Life', 'Art Creation', 'Short Skits', 'Home Life', 'Satirical Parody', 'Skill Sharing', 'Street Interviews', 'Creative Editing/Dubbing', 'Satirical Parody']"
1,8,"['Leisure and Comedy', 'Games', 'Plot Type', 'Plot Type', 'Leisure and Comedy', 'Leisure and Comedy', 'Life Sharing', 'Plot Type', 'Games', 'Appearance', 'Life Sharing', 'Product Guide', 'Plot Type']","['Creative Editing/Dubbing', 'Games', 'Short Skits', 'Short Skits', 'Creative Editing/Dubbing', 'Satirical Parody', 'Home Life', 'Short Skits', 'Games', 'Music', 'Vlog/Insights Sharing', 'Product Review', 'Short Skits']"
1,9,"['Leisure and Comedy', 'Plot Type', 'Games', 'Life Sharing', 'Life Sharing', 'Games', 'Life Sharing', 'Plot Type', 'Appearance', 'Leisure and Comedy', 'Life Sharing', 'Leisure and Comedy', 'Plot Type', 'Plot Type', 'Games', 'Life Sharing']","['Creative Editing/Dubbing', 'Short Skits', 'Games', 'Vlog/Insights Sharing', 'Travel', 'Games', 'Home Life', 'Short Skits', 'Music', 'Creative Editing/Dubbing', 'Travel', 'Street Interviews', 'Short Skits', 'Short Skits', 'Games', 'Vlog/Insights Sharing']"
1,10,"['Life Sharing', 'Plot Type', 'Games', 'Life Sharing', 'Life Sharing', 'Life Sharing', 'Product Guide', 'Others', 'Leisure and Comedy', 'Life Sharing', 'Life Sharing', 'Leisure and Comedy', 'Product Guide', 'Appearance', 'Life Sharing', 'Life Sharing']","['Vlog/Insights Sharing', 'Short Skits', 'Games', 'Home Life', 'Vlog/Insights Sharing', 'Skill Sharing', 'Product Review', 'Others', 'Creative Editing/Dubbing', 'Vlog/Insights Sharing', 'Home Life', 'Satirical Parody', 'Product Review', 'Music', 'Skill Sharing', 'Skill Sharing']"
