UserID,Video,LLM_num,RA_num
1,1,6,1
1,2,13,4
1,3,2,0
1,4,12,1
1,5,12,1
1,6,7,0
1,7,2,0
1,8,13,4
1,9,5,3
1,10,14,6
1,11,14,2
1,12,11,2
1,13,14,3
1,14,6,9
3,1,3,6
3,2,6,8
3,3,1,4
3,4,5,3
3,5,2,0
3,10,2,2
3,13,6,4
3,14,4,3
4,1,13,1
4,2,9,10
4,3,24,0
4,4,18,3
4,5,18,4
4,6,17,5
4,7,2,7
4,8,9,3
4,9,8,1
4,10,8,4
4,11,21,2
4,12,9,2
4,13,7,3
4,14,12,1
6,1,6,1
6,2,9,15
6,3,10,8
6,4,14,7
6,5,23,3
6,6,21,12
6,7,17,11
6,8,10,6
6,9,22,8
6,10,26,17
6,11,21,42
6,12,11,32
6,13,24,31
6,14,33,53
8,1,19,17
8,2,2,3
8,3,5,5
8,4,15,13
8,5,4,6
8,6,23,12
8,7,18,20
8,8,15,7
8,9,15,5
8,10,1,9
8,11,3,2
8,12,17,1
8,13,8,1
8,14,1,3
9,1,8,2
9,2,9,1
9,3,17,7
9,4,11,2
9,5,5,2
9,6,19,4
9,7,5,7
9,8,15,1
9,9,15,2
9,10,15,6
9,11,17,6
9,12,21,5
9,13,7,7
9,14,25,6
10,1,4,5
10,2,6,4
10,3,11,0
10,4,13,7
10,5,14,6
10,6,4,9
10,7,8,6
10,8,16,10
10,9,8,4
10,10,18,6
10,11,11,15
10,12,8,10
10,13,20,13
10,14,13,16
11,2,1,2
11,3,1,3
11,4,1,1
11,5,8,3
11,6,2,1
11,7,1,0
11,8,7,0
11,10,1,0
11,11,3,6
11,12,1,2
11,13,2,3
11,14,4,1
13,1,12,6
13,2,5,2
13,3,5,6
13,4,4,0
13,5,5,11
13,6,1,8
13,7,11,7
13,8,7,8
13,9,17,6
13,10,6,7
13,11,17,2
13,12,4,8
13,13,13,5
13,14,2,7
14,1,13,5
14,2,11,3
14,3,15,0
14,4,16,6
14,5,4,4
14,6,10,5
14,7,3,4
14,8,16,8
14,9,7,10
14,10,22,12
14,11,8,6
14,12,14,8
14,13,9,5
14,14,12,7
15,1,15,4
15,2,14,10
15,3,12,8
15,4,15,2
15,5,5,2
15,6,23,1
15,7,2,0
15,8,8,1
15,9,2,1
15,11,5,1
15,12,5,2
15,13,7,1
15,14,9,4
16,1,4,10
16,2,11,2
16,3,7,3
16,4,21,17
16,5,6,5
16,6,7,10
16,7,21,4
16,8,10,8
