UserID,Video,all_num,sequence_num
1,1,18,1
1,2,19,1
1,3,15,0
1,4,12,5
1,5,12,2
1,6,17,3
1,7,12,0
1,8,13,2
1,9,16,3
1,10,16,1
1,11,16,2
1,12,13,3
1,13,13,0
1,14,13,2
3,1,7,1
3,2,13,2
3,3,8,1
3,4,8,2
3,5,3,0
3,6,1,0
3,7,4,0
3,8,2,0
3,9,3,0
3,10,6,3
3,11,2,2
3,12,1,1
3,13,6,0
3,14,3,3
4,1,9,4
4,2,13,0
4,3,2,2
4,4,7,2
4,5,16,5
4,6,12,2
4,7,14,0
4,8,14,0
4,9,14,3
4,10,10,0
4,11,8,4
4,12,11,2
4,13,11,5
4,14,12,3
6,1,17,0
6,2,17,2
6,3,17,2
6,4,23,3
6,5,21,4
6,6,18,3
6,7,14,5
6,8,24,3
6,9,25,2
6,10,20,0
6,11,8,1
6,12,10,1
6,13,13,1
6,14,2,0
8,1,19,1
8,2,19,1
8,3,19,1
8,4,20,0
8,5,17,0
8,6,19,3
8,7,0,0
8,8,19,1
8,9,17,2
8,10,18,0
8,11,18,1
8,12,27,1
8,13,17,1
8,14,13,0
9,1,7,2
9,2,5,2
9,3,9,0
9,4,9,0
9,5,9,1
9,6,14,4
9,7,6,0
9,8,16,3
9,9,11,2
9,10,8,2
9,11,16,1
9,12,8,3
9,13,11,1
9,14,8,0
10,1,10,0
10,2,6,0
10,3,2,1
10,4,4,2
10,5,10,1
10,6,2,2
10,7,6,1
10,8,11,1
10,9,4,2
10,10,13,0
10,11,16,0
10,12,8,0
10,13,12,1
10,14,14,0
11,1,1,0
11,2,3,1
11,3,4,1
11,4,6,0
11,5,4,1
11,6,3,1
11,7,5,0
11,8,5,0
11,9,2,0
11,10,2,0
11,11,5,0
11,12,3,1
11,13,3,1
11,14,7,0
13,1,8,2
13,2,7,1
13,3,5,0
13,4,5,1
13,5,6,0
13,6,5,0
13,7,10,0
13,8,10,2
13,9,8,0
13,10,13,4
13,11,12,0
13,12,8,2
13,13,11,4
13,14,13,1
14,1,12,3
14,2,4,1
14,3,2,0
14,4,5,2
14,5,9,0
14,6,6,0
14,7,8,0
14,8,11,3
14,9,9,1
14,10,11,1
14,11,11,5
14,12,8,2
14,13,11,4
14,14,13,1
15,1,15,2
15,2,16,3
15,3,12,1
15,4,7,2
15,5,3,0
15,6,6,4
15,7,7,5
15,8,8,0
15,9,8,4
15,10,5,2
15,11,7,0
15,12,7,2
15,13,8,0
15,14,7,1
16,1,10,1
16,2,11,2
16,3,11,2
16,4,12,0
16,5,15,0
16,6,12,3
16,7,15,0
16,8,12,0
16,9,17,4
16,10,10,0
16,11,11,1
16,12,15,1
16,13,13,0
16,14,11,3
17,1,10,3
17,2,9,5
17,3,8,2
17,4,6,5
17,5,9,5
17,6,5,5
17,7,7,3
17,8,7,3
17,9,4,2
17,10,7,4
17,11,8,2
17,12,2,0
17,13,7,4
17,14,8,3
18,1,10,1
18,2,8,0
18,3,15,1
18,4,8,3
18,5,5,3
18,6,15,2
18,7,11,1
18,8,7,1
18,9,3,0
18,10,10,0
18,11,11,1
18,12,9,3
18,13,11,2
18,14,10,0
20,1,11,1
20,2,12,4
20,3,8,1
20,4,9,1
20,5,6,1
20,6,3,3
20,7,8,1
20,8,7,6
20,9,8,2
20,10,3,0
20,11,10,1
20,12,5,2
20,13,3,1
20,14,5,1
21,1,14,0
21,2,13,1
21,3,16,1
21,4,8,2
21,5,14,1
21,6,13,8
21,7,12,0
21,8,5,0
21,9,6,3
21,10,9,1
21,11,10,2
21,12,15,4
21,13,10,0
21,14,11,1
23,1,10,0
23,2,10,1
23,3,15,1
23,4,11,1
23,5,14,2
23,6,9,4
23,7,12,0
23,8,18,3
23,9,14,0
23,10,16,3
23,11,7,1
23,12,9,0
23,13,7,4
23,14,10,2
24,1,12,2
24,2,11,2
24,3,14,5
24,4,17,2
24,5,18,0
24,6,12,1
24,7,12,0
24,8,17,3
24,9,13,5
24,10,13,0
24,11,12,0
24,12,14,0
24,13,8,1
24,14,11,0
25,1,12,1
25,2,13,1
25,3,5,4
25,4,10,1
25,5,11,3
25,6,9,1
25,7,9,0
25,8,0,0
25,9,19,1
25,10,21,1
25,11,12,6
25,12,8,2
25,13,22,0
25,14,17,1
26,1,14,2
26,2,13,4
26,3,11,0
26,4,12,0
26,5,6,1
26,6,12,1
26,7,7,0
26,8,8,8
26,9,18,7
26,10,16,2
26,11,24,3
26,12,17,3
26,13,14,4
26,14,15,1
28,1,9,2
28,2,7,5
28,3,12,0
28,4,2,0
28,5,6,1
28,6,5,0
28,7,2,0
28,8,9,4
28,9,13,3
28,10,6,2
28,11,6,1
28,12,5,0
28,13,6,1
28,14,6,5
29,1,17,1
29,2,11,1
29,3,13,5
29,4,8,2
29,5,6,2
29,6,11,0
29,7,10,0
29,8,20,1
29,9,21,1
29,10,20,5
29,11,14,4
29,12,9,1
29,13,12,1
29,14,15,2
31,1,11,2
31,2,6,0
31,3,10,0
31,4,13,2
31,5,7,3
31,6,5,2
31,7,7,0
31,8,10,0
31,9,8,6
31,10,5,3
31,11,8,2
31,12,3,3
31,13,5,0
31,14,6,2
33,1,2,0
33,2,5,0
33,3,9,0
33,4,6,0
33,5,6,0
33,6,3,0
33,7,0,0
33,8,6,1
33,9,9,1
33,10,7,1
33,11,6,0
33,12,7,0
33,13,3,1
33,14,3,0
34,1,10,0
34,2,12,0
34,3,1,1
34,4,5,3
34,5,6,3
34,6,8,0
34,7,4,2
34,8,5,1
34,9,4,0
34,10,3,1
34,11,6,1
34,12,7,1
34,13,4,0
34,14,3,0
35,1,15,0
35,2,15,1
35,3,10,0
35,4,13,3
35,5,10,3
35,6,12,3
35,7,8,3
35,8,9,1
35,9,12,3
35,10,13,1
35,11,14,0
35,12,13,1
35,13,14,0
35,14,13,0
36,1,9,0
36,2,7,1
36,3,6,2
36,4,5,3
36,5,8,3
36,6,11,2
36,7,6,5
36,8,9,3
36,9,6,3
36,10,0,0
36,11,9,6
36,12,8,5
36,13,11,4
36,14,8,6
37,1,13,3
37,2,7,2
37,3,8,0
37,4,5,0
37,5,10,3
37,6,8,1
37,7,7,0
37,8,8,0
37,9,9,4
37,10,8,3
37,11,6,0
37,12,6,2
37,13,9,3
37,14,5,0
