UserID,Video,all_num,sequence_num
1,1,18,2
1,2,19,6
1,3,15,5
1,4,12,4
1,5,12,4
1,6,17,6
1,7,17,7
1,8,13,4
1,9,16,5
1,10,16,3
1,11,16,6
1,12,13,6
1,13,13,4
1,14,13,5
3,1,7,2
3,2,13,5
3,3,8,1
3,4,8,5
3,5,3,0
3,6,1,0
3,7,4,2
3,8,2,1
3,9,3,3
3,10,6,3
3,11,2,2
3,12,2,2
3,13,6,2
3,14,3,0
4,1,9,2
4,2,13,3
4,3,2,0
4,4,7,1
4,5,16,4
4,6,12,1
4,7,14,2
4,8,14,3
4,9,14,2
4,10,10,0
4,11,8,2
4,12,11,0
4,13,11,1
4,14,12,6
6,1,17,5
6,2,17,8
6,3,17,2
6,4,23,2
6,5,25,6
6,6,18,5
6,7,14,5
6,8,24,5
6,9,25,2
6,10,20,1
6,11,8,1
6,12,10,3
6,13,13,3
6,14,2,0
8,1,20,6
8,2,19,5
8,3,19,1
8,4,21,2
8,5,20,6
8,6,19,2
8,7,0,0
8,8,19,2
8,9,17,2
8,10,24,3
8,11,18,6
8,12,28,2
8,13,26,6
8,14,18,4
9,1,7,3
9,2,5,2
9,3,9,2
9,4,9,1
9,5,9,2
9,6,14,3
9,7,6,2
9,8,16,1
9,9,11,3
9,10,8,2
9,11,16,5
9,12,8,1
9,13,11,5
9,14,8,1
10,1,11,3
10,2,6,1
10,3,2,1
10,4,4,2
10,5,10,1
10,6,2,1
10,7,6,3
10,8,11,2
10,9,4,1
10,10,13,5
10,11,17,5
10,12,8,4
10,13,12,5
10,14,14,3
11,1,1,0
11,2,3,3
11,3,4,2
11,4,6,3
11,5,4,1
11,6,3,2
11,7,5,3
11,8,5,3
11,9,2,1
11,10,2,1
11,11,5,5
11,12,3,1
11,13,3,3
11,14,7,3
13,1,8,2
13,2,7,4
13,3,5,1
13,4,5,1
13,5,6,3
13,6,5,2
13,7,10,4
13,8,10,3
13,9,8,1
13,10,13,2
13,11,12,4
13,12,8,3
13,13,11,3
13,14,13,4
14,1,12,1
14,2,4,2
14,3,2,1
14,4,5,1
14,5,11,3
14,6,6,2
14,7,8,3
14,8,11,2
14,9,9,5
14,10,11,3
14,11,11,4
14,12,8,3
14,13,11,3
14,14,13,5
15,1,15,2
15,2,16,1
15,3,12,3
15,4,7,3
15,5,3,2
15,6,6,3
15,7,7,1
15,8,8,3
15,9,8,5
15,10,5,4
15,11,7,3
15,12,7,2
15,13,8,4
15,14,7,4
16,1,10,0
16,2,11,5
16,3,11,1
16,4,12,3
16,5,15,3
16,6,12,3
16,7,15,3
16,8,12,1
16,9,17,1
16,10,10,2
16,11,11,2
16,12,15,0
16,13,13,2
