User,Video,Time,Topic,Description
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,4,Games, Toddlers Playing Together;  Family and Friends
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Dance, Romance
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Popular Science, Popular Science
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,4,Outfit Recommendations, Outfit Recommendations;  Mobile Devices
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Outfit Recommendations, Outfit Recommendations
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Art Creation, Arts and Crafts
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Popular Science, Popular Science
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Outfit Recommendations, Fashion Accessories
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Technology, Technology in Daily Life
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,4,Technology, Technology;  Streaming/Vlogging
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,8,Short Skits, Clothing and Fashion Showcase;  Short Skits;  Personal Emotions and Feelings
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Social and Political News, Social Media;  Streaming/Vlogging;  Social Media
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Art Creation, Dubbing;  Fashion Show/Modeling;  Office Culture;  Fashion Showcase
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Product Review, Product Review
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,12,Technology, Office/Workplace;  Others;  Mobile Devices;  Fashion Photography;  Mobile Devices;  Mobile Devices
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,8,Movie Commentary, Medical Health;  Fashion Show/Runway;  Makeup Tutorial;  Conflict Resolution;  Horror Movie Analysis
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Landscape Photography, Workplace Photography
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,10,Outfit Recommendations, Medical Health;  Fashion Tips;  Laptop/Computer;  Laptops;  Animation/Anime
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,28,Outfit Recommendations, Fashion Trends;  Product Review;  Animation/Anime;  Personal Technology;  Creative Editing/Dubbing;  Computer and Accessories;  Productivity Tools;  Technology;  Popular Science;  Fashion Inspiration;  Fashion Tips;  Technology;  Vlog/Insights Sharing;  Computer Accessories;  Personal Computers/Laptops
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,4,Technology, Gadgets and Devices;  Electronic Devices
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Outfit Recommendations, Fashion Show
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Popular Science, Popular Science;  Gadgets
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Technology, Electronic Devices;  Social Media;  Social Media and Online Platforms
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Workplace/Interpersonal Relationships, Car;  Office Culture;  Office Life
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,8,Outfit Recommendations, Workplace Fashion;  Transportation;  Automotive Technology;  Fashion Photography;  Car
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,8,Education and Campus, Transportation;  Campus Life;  Automobiles;  Office Life
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Games, Gaming
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Art Creation, Productivity and Communication;  Fashion Inspiration;  Electronics;  Artistic Portraits
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,4,Food, Food Photography;  Food
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,10,Popular Science, Popular Science;  Student Life;  Fashion Photography;  Product Features;  Fashion Style
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,6,Fitness and Beauty, Fashion Inspiration;  Vlog/Insights Sharing;  Medical Health;  Skill Sharing
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Technology, Gadget Review
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Technology, Gadgets
2.63787E+11,WhatsApp Video 2024-06-03 at 10.42.04_04578584,2,Technology, Mobile Phones
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,10,Social and Political News, Learning and Education;  Fashion Trends;  Social Media/Streaming Platforms;  Family and Relationships;  Vlog/Insights Sharing;  Social Media/Streaming
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Celebrity Entertainment, Fashion Show/Event
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Home Life, Family Dynamics
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,4,Outfit Recommendations, Fashion Photography;  Childcare
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Workplace/Interpersonal Relationships, Office Life
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,14,Fitness and Beauty, Social Media;  Social Media and Online Communication; Others;  Fashion;  Selfie Outfit Ideas;  Health and Beauty;  Science and Technology;  Fashion Inspiration;  Captions/Hashtags
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,6,Food, Food for Thought;  Social Interactions;  Product/Service Showcase;  Food
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,6,Vlog/Insights Sharing, Virtual Meetings/Video Calls;  Virtual Meals;  Workplace Dynamics
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,8,Popular Science, Popular Science;  Everyday Life in the Workplace;  Social Interactions in Public Places;  Productivity
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,6,Workplace/Interpersonal Relationships, Social Interactions;  Everyday Life in the Workplace
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,6,Dance, Dance in a Store;  Dance;  Social Activities
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,10,Social and Political News, Social Media Integration;  Fashion Trends;  Science and Technology;  Product Showcase;  Fashion Trend;  Caption Writing;  Social Media Platforms;  Visual Effects
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,4,Games, Gaming;  Gaming and Esports
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Technology,Others;  Technology in the Workplace
